age,Medu,traveltime,studytime,failures,freetime,goout,Walc,health,G2,G3
18,4,2,2,0,3,4,1,3,11,11
17,1,1,2,0,3,3,1,3,11,11
15,1,1,2,0,3,2,3,3,13,12
15,4,1,3,0,2,2,1,5,14,14
16,3,1,2,0,3,2,2,5,13,13
16,4,1,2,0,4,2,2,5,12,13
16,2,1,2,0,4,4,1,3,12,13
17,4,2,2,0,1,4,1,1,13,13
15,3,1,2,0,2,2,1,1,16,17
15,3,1,2,0,5,1,1,5,12,13
15,4,1,2,0,3,3,2,2,14,14
15,2,3,3,0,2,2,1,4,12,13
15,4,1,1,0,3,3,3,5,13,12
15,4,2,2,0,4,3,2,3,12,13
15,2,1,3,0,5,2,1,3,14,15
16,4,1,1,0,4,4,2,2,17,17
16,4,1,3,0,2,3,2,2,13,14
16,3,3,2,0,3,2,1,4,14,14
17,3,1,1,3,5,5,4,5,8,7
16,4,1,1,0,1,3,3,5,12,12
15,4,1,2,0,4,1,1,1,13,14
15,4,1,1,0,4,2,1,5,12,12
16,4,1,2,0,5,1,3,5,13,14
16,2,2,2,0,4,4,4,5,10,10
15,2,1,3,0,3,2,1,5,11,10
16,2,1,1,0,2,2,3,5,11,12
15,2,1,1,0,2,2,2,5,12,12
15,4,1,1,0,2,4,4,1,11,11
16,3,1,2,0,3,3,1,5,12,13
16,4,1,2,0,4,5,5,5,11,12
15,4,1,2,0,4,2,4,5,11,11
15,4,2,2,0,3,1,1,5,15,15
15,4,1,2,0,5,2,1,5,14,15
15,3,1,2,0,3,2,1,2,12,12
16,3,1,1,0,4,3,1,5,12,12
15,2,2,1,0,5,1,1,5,11,11
15,4,1,3,0,4,3,1,4,14,14
16,4,2,3,0,4,3,1,5,13,13
15,3,1,3,0,3,2,1,5,12,12
15,2,1,1,0,3,1,1,2,13,12
16,2,2,2,0,3,3,2,3,11,10
15,4,1,1,0,4,3,4,5,11,11
15,4,1,2,0,3,3,1,5,15,15
15,2,1,1,0,4,1,1,1,10,10
16,2,2,2,1,3,3,2,5,11,11
15,4,1,2,0,2,2,1,5,11,11
16,3,1,2,0,3,5,4,3,12,13
16,4,1,4,0,2,2,1,2,17,17
15,4,1,2,0,3,3,2,5,12,13
15,4,1,2,0,4,4,1,3,12,12
16,2,3,2,0,3,3,3,4,13,13
15,4,1,2,0,3,3,1,5,14,16
15,4,2,1,0,5,5,4,5,9,9
15,4,1,1,0,3,4,3,5,12,12
15,3,1,1,0,3,4,4,1,12,13
16,2,1,2,0,3,4,1,2,13,12
15,4,1,2,0,3,2,1,1,14,15
15,4,1,2,0,2,2,1,5,15,16
15,1,1,2,0,3,2,1,5,13,14
16,4,1,2,0,2,3,1,5,15,16
16,4,1,2,0,4,4,3,4,16,16
16,1,4,1,0,5,5,5,5,10,16
16,1,1,2,0,4,3,1,1,13,10
16,4,1,3,0,4,4,4,4,13,13
15,4,1,2,0,4,4,4,2,12,12
16,4,3,2,0,4,3,2,1,15,16
15,4,1,4,0,3,3,5,3,12,12
16,3,1,4,0,3,3,2,5,9,10
15,2,2,2,0,1,3,3,4,10,11
15,3,2,4,0,4,2,3,3,15,15
16,3,2,4,0,3,2,1,5,11,11
15,4,1,4,0,3,3,1,3,9,10
15,1,1,2,0,3,4,4,5,11,11
16,3,1,1,0,3,2,2,5,13,14
16,3,1,2,0,3,3,4,5,11,11
15,4,1,2,0,3,3,3,5,11,11
15,4,2,4,0,4,3,1,1,11,11
16,2,1,4,0,2,3,3,3,13,13
17,2,2,1,3,5,1,1,3,9,10
16,3,1,2,0,4,3,2,3,11,11
15,2,1,1,0,2,2,3,3,11,12
15,2,1,3,0,3,2,2,5,9,9
15,3,1,2,0,4,4,1,5,11,11
15,2,2,2,0,3,3,3,4,12,13
15,1,1,2,0,3,2,3,4,12,12
15,4,2,2,0,4,4,3,5,11,12
16,2,1,2,0,3,4,2,2,11,11
15,4,1,3,0,3,3,3,1,15,15
16,2,2,2,0,4,2,1,3,10,11
16,4,1,2,0,1,3,5,5,9,10
16,3,1,3,0,3,3,3,4,11,11
15,4,1,1,0,5,5,3,1,13,13
16,3,1,2,0,3,3,3,2,13,12
16,4,2,2,0,3,3,1,1,14,14
15,2,1,4,0,3,4,1,4,12,12
15,1,2,4,0,1,2,1,1,13,13
16,4,2,1,0,3,3,1,4,11,11
16,2,1,2,0,3,5,1,5,12,12
16,4,1,1,0,3,4,2,1,13,13
16,4,1,3,0,3,5,1,3,13,13
16,4,1,1,0,5,5,5,4,9,8
16,4,1,3,0,4,3,1,4,16,16
15,4,1,1,0,3,3,1,5,13,12
15,3,2,2,0,3,5,1,2,10,10
15,3,1,2,0,4,4,1,1,16,16
15,3,1,4,0,3,3,1,4,10,10
15,2,1,4,0,1,2,1,3,10,10
16,3,1,3,0,3,3,1,5,14,14
15,4,4,4,0,3,5,5,1,10,11
16,4,1,3,0,4,5,1,4,15,14
15,4,1,1,0,5,3,1,4,14,14
16,3,1,3,0,1,2,1,2,11,11
16,2,1,2,1,1,2,1,5,10,10
15,4,1,1,0,5,2,1,3,17,18
15,2,1,2,0,4,2,1,5,9,10
16,4,1,2,0,4,4,2,5,14,14
15,4,2,2,0,4,3,1,2,15,16
16,3,2,1,0,4,2,1,5,14,15
17,1,3,2,1,2,4,4,5,11,11
