"","age","Medu","traveltime","studytime","failures","freetime","goout","Walc","health","G2","G3"
"2",17,1,1,2,0,3,3,1,3,11,11
"12",15,2,3,3,0,2,2,1,4,12,13
"17",16,4,1,3,0,2,3,2,2,13,14
"21",15,4,1,2,0,4,1,1,1,13,14
"28",15,4,1,1,0,2,4,4,1,11,11
"29",16,3,1,2,0,3,3,1,5,12,13
"33",15,4,1,2,0,5,2,1,5,14,15
"36",15,2,2,1,0,5,1,1,5,11,11
"45",16,2,2,2,1,3,3,2,5,11,11
"49",15,4,1,2,0,3,3,2,5,12,13
"52",15,4,1,2,0,3,3,1,5,14,16
"55",15,3,1,1,0,3,4,4,1,12,13
"60",16,4,1,2,0,2,3,1,5,15,16
"67",15,4,1,4,0,3,3,5,3,12,12
"68",16,3,1,4,0,3,3,2,5,9,10
"72",15,4,1,4,0,3,3,1,3,9,10
"74",16,3,1,1,0,3,2,2,5,13,14
"78",16,2,1,4,0,2,3,3,3,13,13
"79",17,2,2,1,3,5,1,1,3,9,10
"85",15,1,1,2,0,3,2,3,4,12,12
"91",16,3,1,3,0,3,3,3,4,11,11
"101",16,4,1,1,0,5,5,5,4,9,8
"113",16,2,1,2,1,1,2,1,5,10,10
"116",16,4,1,2,0,4,4,2,5,14,14
"125",16,2,1,2,0,4,4,1,5,11,11
"138",16,2,1,1,1,3,4,1,5,11,11
"145",16,1,2,1,0,3,3,2,1,11,11
"146",16,3,2,1,0,3,2,1,5,9,10
"149",15,1,3,1,1,5,5,1,1,9,9
"152",16,4,1,3,0,3,3,3,5,13,13
"158",15,2,2,1,0,4,2,1,5,10,10
"160",15,1,1,2,0,3,2,1,5,12,13
"163",15,2,4,1,0,5,5,5,5,11,11
"164",18,1,1,1,2,3,5,5,4,9,0
"165",16,2,1,1,1,4,4,5,5,10,10
"174",16,1,2,1,2,4,5,5,5,8,10
"175",17,2,2,1,1,3,2,2,5,8,9
"182",16,4,1,2,0,2,3,1,3,17,18
"186",16,1,2,2,0,3,2,1,3,17,18
"190",17,4,2,2,0,4,4,4,4,11,11
"191",16,2,2,2,0,4,4,4,5,12,14
"197",17,2,1,2,0,4,2,3,5,18,17
"209",16,2,2,1,0,3,3,1,3,12,12
"210",17,2,1,2,0,3,2,1,5,15,16
"216",16,2,1,2,0,4,3,3,4,12,12
"236",17,1,1,3,0,3,4,1,5,12,12
"238",18,2,2,2,3,3,3,5,4,9,10
"242",17,2,1,2,0,3,3,3,3,11,11
"243",18,2,4,2,0,3,2,5,3,10,11
"246",17,2,2,2,0,5,2,1,1,13,13
"250",16,3,2,3,0,3,3,3,2,12,12
"255",18,2,1,2,1,3,1,1,5,8,10
"266",17,1,2,3,0,3,3,3,5,14,15
"267",17,4,1,2,0,3,2,1,4,14,14
"269",17,4,2,2,0,3,3,3,4,12,12
"270",16,4,1,1,0,4,5,1,3,14,15
"271",16,4,1,1,0,3,2,2,5,15,15
"273",17,1,2,3,0,3,3,1,1,14,15
"275",17,1,1,2,0,3,2,1,4,9,10
"277",16,2,3,1,0,3,3,1,4,16,16
"278",17,1,1,2,0,3,4,2,5,10,11
"279",17,2,2,1,0,2,2,1,2,12,13
"283",18,3,2,1,0,4,5,4,5,8,7
"285",18,2,1,1,2,2,5,5,5,8,6
"286",16,2,2,1,0,3,2,3,3,13,12
"289",18,2,1,2,0,3,4,3,5,12,13
"294",18,1,1,3,0,4,3,3,3,12,14
"295",18,2,1,2,0,2,3,1,5,11,13
"301",18,4,1,2,0,1,2,3,2,15,15
"302",18,4,1,2,0,3,2,1,3,10,11
"306",17,2,2,1,0,4,4,3,4,8,9
"307",18,3,2,2,0,2,5,4,1,16,16
"316",18,2,1,2,0,2,5,2,1,14,15
"325",18,1,2,1,0,4,4,4,4,10,11
"326",17,4,2,1,0,5,4,4,5,11,10
"327",17,3,1,1,0,4,4,4,3,13,13
"345",18,4,1,1,0,4,2,2,1,18,17
"347",17,4,2,1,0,1,1,2,5,13,13
"351",19,2,2,3,1,3,1,1,5,10,11
"352",20,3,1,1,2,5,3,1,5,15,15
"355",18,2,2,2,0,3,3,2,1,12,15
"360",17,3,1,3,0,3,4,5,5,15,17
"361",18,3,1,2,0,1,4,1,3,12,14
"366",17,4,1,2,0,2,2,2,5,14,17
"370",19,1,3,3,0,5,5,3,5,10,11
"378",18,4,1,3,0,3,3,2,3,14,13
"382",17,4,2,3,0,3,3,2,4,14,15
"383",17,3,1,1,0,2,5,5,5,12,11
"396",18,4,1,2,0,3,3,2,2,12,13
"397",18,3,1,2,0,3,3,3,5,16,17
"401",18,4,1,3,0,3,2,2,4,14,17
"407",17,3,1,1,1,1,2,1,3,13,13
"412",17,4,1,3,0,4,2,2,4,15,15
"421",18,2,2,2,0,1,4,3,4,17,17
"425",16,2,2,2,0,4,4,1,5,12,12
"426",15,1,1,1,1,1,3,1,2,10,10
"436",15,1,2,2,0,4,3,2,4,10,10
"438",16,0,2,1,0,2,3,2,2,11,12
"439",17,2,2,1,0,5,5,3,3,11,12
"444",15,4,1,2,0,3,4,2,2,9,8
"448",17,2,3,1,0,5,5,5,3,10,9
"452",16,1,2,2,0,3,3,1,5,11,11
"458",17,1,1,1,0,5,5,5,3,11,11
"463",15,1,3,2,0,2,1,2,2,14,14
"464",15,2,1,3,0,4,3,2,5,11,12
"466",18,1,1,2,1,4,4,3,5,8,8
"479",16,1,2,2,3,4,3,1,1,7,8
"481",19,2,1,1,1,4,4,1,2,9,10
"482",17,2,3,1,0,5,3,1,3,10,11
"495",16,1,1,2,0,4,5,3,3,9,9
"496",16,3,1,1,0,5,4,1,4,13,13
"509",17,2,3,1,1,4,5,2,5,9,9
"512",17,1,2,2,0,4,5,1,4,9,10
"524",18,4,1,4,0,5,5,5,5,6,6
"531",17,3,1,1,0,1,4,5,3,10,9
"539",16,2,1,3,0,3,3,2,5,11,11
"540",16,4,2,2,0,2,4,2,1,10,10
"553",19,1,1,2,2,4,3,4,4,9,10
"565",16,3,2,1,0,5,5,3,5,9,10
"566",16,1,2,1,0,5,5,4,5,10,9
"568",18,3,1,1,1,3,1,2,5,0,0
"570",18,3,1,2,2,4,5,3,3,8,8
"581",19,1,3,1,1,4,4,3,5,9,10
"583",19,1,1,1,0,4,4,1,5,8,7
"584",18,2,2,1,1,5,5,1,3,6,0
"589",17,4,1,1,0,2,2,1,5,10,9
"592",18,2,2,2,0,3,5,1,1,13,14
"598",18,2,3,2,1,3,3,1,4,0,0
"601",17,1,3,1,0,2,3,4,4,13,14
"605",18,1,3,2,1,4,2,2,2,10,10
"606",19,1,2,1,1,5,5,3,2,0,0
"611",19,1,2,2,3,5,4,4,1,0,0
"622",17,1,2,2,0,2,2,2,3,13,13
"628",18,1,3,1,0,3,3,3,3,10,10
"637",18,4,1,2,0,2,4,4,2,18,19
"645",19,2,1,3,1,4,2,2,5,11,10
"649",18,3,3,1,0,4,1,4,5,11,11
"652",15,1,1,2,3,3,2,3,3,8,10
"655",16,4,1,2,0,4,2,2,5,15,15
"659",15,3,1,2,0,5,1,1,5,15,15
"661",15,2,3,3,0,2,2,1,4,12,12
"666",16,4,1,3,0,2,3,2,2,14,14
"671",15,4,1,1,0,4,2,1,5,15,15
"672",16,4,1,2,0,5,1,3,5,15,16
"688",15,3,1,3,0,3,2,1,5,12,11
"689",15,2,1,1,0,3,1,1,2,13,13
"690",16,2,2,2,1,3,3,2,3,10,11
"691",15,4,1,1,0,4,3,4,5,12,12
"696",16,3,1,2,0,3,5,4,3,12,11
"697",16,4,1,4,0,2,2,1,2,19,20
"702",15,4,2,1,1,5,5,4,5,11,10
"704",15,3,1,1,0,3,4,4,1,13,13
"709",16,4,1,2,0,2,3,1,5,16,16
"728",17,2,2,1,3,5,1,1,3,8,10
"743",16,4,2,2,0,3,3,1,1,10,10
"750",16,4,1,1,0,5,5,5,4,7,5
"753",15,3,2,2,0,3,5,1,2,6,6
"754",15,3,1,2,0,4,4,1,1,18,18
"755",15,3,1,4,0,3,3,1,4,11,11
"756",15,2,1,4,0,1,2,1,3,8,8
"775",15,3,1,1,0,5,5,2,5,13,12
"781",15,1,3,1,0,3,3,2,4,0,0
"783",16,3,1,1,0,2,1,4,5,11,11
"787",16,3,2,1,2,3,2,1,5,0,0
"789",15,4,2,1,0,3,2,1,5,16,15
"793",16,1,1,1,0,4,4,3,1,14,13
"799",15,2,4,1,3,5,5,5,5,9,10
"800",18,1,1,1,3,3,5,5,4,5,0
"801",16,2,1,1,1,4,4,5,5,13,14
"807",18,1,3,1,3,2,5,5,4,8,10
"817",16,4,1,2,0,2,3,1,3,15,16
"819",16,4,1,2,0,4,2,1,3,14,14
"822",17,4,1,2,0,4,4,3,5,11,10
"842",17,1,2,2,0,4,4,5,5,8,8
"844",16,2,2,1,0,3,3,1,3,14,14
"848",17,4,2,1,1,2,4,3,2,18,18
"850",16,4,1,2,0,3,5,5,2,16,16
"868",17,2,2,1,0,3,3,4,3,7,8
"879",17,2,2,3,0,2,3,2,3,10,12
"889",18,2,1,2,1,5,4,5,2,7,0
"898",18,3,1,2,1,3,3,3,5,5,5
"899",16,0,1,1,0,3,2,4,5,15,15
"908",18,2,1,2,0,2,4,2,4,14,14
"910",18,4,1,2,0,1,2,3,2,18,18
"926",18,3,2,2,0,1,1,1,5,9,9
"930",17,4,2,1,0,5,4,4,5,8,8
"931",17,3,1,1,1,4,4,4,3,9,10
"932",18,1,2,4,0,2,2,1,3,12,12
"937",17,1,1,3,0,3,3,1,3,12,12
"950",18,4,1,2,0,2,4,1,4,10,11
"954",19,3,1,2,1,4,4,1,3,14,13
"963",19,3,2,2,1,2,2,2,1,10,11
"967",18,4,1,3,0,3,4,1,5,10,9
"978",17,4,1,3,0,4,4,3,4,9,9
"984",18,2,2,4,0,4,4,1,4,9,0
"985",17,3,1,3,0,4,5,3,5,15,15
"994",18,2,1,3,0,3,3,2,3,10,10
"1003",19,1,3,1,1,4,4,3,5,8,8
"1006",17,4,2,2,0,3,3,2,5,13,13
"1014",17,1,2,2,0,2,2,2,3,11,12
"1016",18,4,2,3,0,2,2,2,5,13,13
"1021",18,1,3,1,0,3,3,3,3,12,12
"1030",18,4,1,2,0,2,4,4,2,14,14
"1032",17,2,2,2,0,4,3,1,3,11,10
"1033",19,1,2,1,1,3,2,3,5,5,0
"1042",21,1,1,1,3,5,3,3,3,8,7
"1043",18,3,3,1,0,4,1,4,5,12,10
