"","age","Medu","traveltime","studytime","failures","freetime","goout","Walc","health","G2","G3"
"1",18,4,2,2,0,3,4,1,3,11,11
"3",15,1,1,2,0,3,2,3,3,13,12
"4",15,4,1,3,0,2,2,1,5,14,14
"5",16,3,1,2,0,3,2,2,5,13,13
"6",16,4,1,2,0,4,2,2,5,12,13
"7",16,2,1,2,0,4,4,1,3,12,13
"8",17,4,2,2,0,1,4,1,1,13,13
"9",15,3,1,2,0,2,2,1,1,16,17
"10",15,3,1,2,0,5,1,1,5,12,13
"11",15,4,1,2,0,3,3,2,2,14,14
"13",15,4,1,1,0,3,3,3,5,13,12
"14",15,4,2,2,0,4,3,2,3,12,13
"15",15,2,1,3,0,5,2,1,3,14,15
"16",16,4,1,1,0,4,4,2,2,17,17
"18",16,3,3,2,0,3,2,1,4,14,14
"19",17,3,1,1,3,5,5,4,5,8,7
"20",16,4,1,1,0,1,3,3,5,12,12
"22",15,4,1,1,0,4,2,1,5,12,12
"23",16,4,1,2,0,5,1,3,5,13,14
"24",16,2,2,2,0,4,4,4,5,10,10
"25",15,2,1,3,0,3,2,1,5,11,10
"26",16,2,1,1,0,2,2,3,5,11,12
"27",15,2,1,1,0,2,2,2,5,12,12
"30",16,4,1,2,0,4,5,5,5,11,12
"31",15,4,1,2,0,4,2,4,5,11,11
"32",15,4,2,2,0,3,1,1,5,15,15
"34",15,3,1,2,0,3,2,1,2,12,12
"35",16,3,1,1,0,4,3,1,5,12,12
"37",15,4,1,3,0,4,3,1,4,14,14
"38",16,4,2,3,0,4,3,1,5,13,13
"39",15,3,1,3,0,3,2,1,5,12,12
"40",15,2,1,1,0,3,1,1,2,13,12
"41",16,2,2,2,0,3,3,2,3,11,10
"42",15,4,1,1,0,4,3,4,5,11,11
"43",15,4,1,2,0,3,3,1,5,15,15
"44",15,2,1,1,0,4,1,1,1,10,10
"46",15,4,1,2,0,2,2,1,5,11,11
"47",16,3,1,2,0,3,5,4,3,12,13
"48",16,4,1,4,0,2,2,1,2,17,17
"50",15,4,1,2,0,4,4,1,3,12,12
"51",16,2,3,2,0,3,3,3,4,13,13
"53",15,4,2,1,0,5,5,4,5,9,9
"54",15,4,1,1,0,3,4,3,5,12,12
"56",16,2,1,2,0,3,4,1,2,13,12
"57",15,4,1,2,0,3,2,1,1,14,15
"58",15,4,1,2,0,2,2,1,5,15,16
"59",15,1,1,2,0,3,2,1,5,13,14
"61",16,4,1,2,0,4,4,3,4,16,16
"62",16,1,4,1,0,5,5,5,5,10,16
"63",16,1,1,2,0,4,3,1,1,13,10
"64",16,4,1,3,0,4,4,4,4,13,13
"65",15,4,1,2,0,4,4,4,2,12,12
"66",16,4,3,2,0,4,3,2,1,15,16
"69",15,2,2,2,0,1,3,3,4,10,11
"70",15,3,2,4,0,4,2,3,3,15,15
"71",16,3,2,4,0,3,2,1,5,11,11
"73",15,1,1,2,0,3,4,4,5,11,11
"75",16,3,1,2,0,3,3,4,5,11,11
"76",15,4,1,2,0,3,3,3,5,11,11
"77",15,4,2,4,0,4,3,1,1,11,11
"80",16,3,1,2,0,4,3,2,3,11,11
"81",15,2,1,1,0,2,2,3,3,11,12
"82",15,2,1,3,0,3,2,2,5,9,9
"83",15,3,1,2,0,4,4,1,5,11,11
"84",15,2,2,2,0,3,3,3,4,12,13
"86",15,4,2,2,0,4,4,3,5,11,12
"87",16,2,1,2,0,3,4,2,2,11,11
"88",15,4,1,3,0,3,3,3,1,15,15
"89",16,2,2,2,0,4,2,1,3,10,11
"90",16,4,1,2,0,1,3,5,5,9,10
"92",15,4,1,1,0,5,5,3,1,13,13
"93",16,3,1,2,0,3,3,3,2,13,12
"94",16,4,2,2,0,3,3,1,1,14,14
"95",15,2,1,4,0,3,4,1,4,12,12
"96",15,1,2,4,0,1,2,1,1,13,13
"97",16,4,2,1,0,3,3,1,4,11,11
"98",16,2,1,2,0,3,5,1,5,12,12
"99",16,4,1,1,0,3,4,2,1,13,13
"100",16,4,1,3,0,3,5,1,3,13,13
"102",16,4,1,3,0,4,3,1,4,16,16
"103",15,4,1,1,0,3,3,1,5,13,12
"104",15,3,2,2,0,3,5,1,2,10,10
"105",15,3,1,2,0,4,4,1,1,16,16
"106",15,3,1,4,0,3,3,1,4,10,10
"107",15,2,1,4,0,1,2,1,3,10,10
"108",16,3,1,3,0,3,3,1,5,14,14
"109",15,4,4,4,0,3,5,5,1,10,11
"110",16,4,1,3,0,4,5,1,4,15,14
"111",15,4,1,1,0,5,3,1,4,14,14
"112",16,3,1,3,0,1,2,1,2,11,11
"114",15,4,1,1,0,5,2,1,3,17,18
"115",15,2,1,2,0,4,2,1,5,9,10
"117",15,4,2,2,0,4,3,1,2,15,16
"118",16,3,2,1,0,4,2,1,5,14,15
"119",17,1,3,2,1,2,4,4,5,11,11
"120",15,3,1,1,0,4,3,2,4,13,14
"121",15,1,1,2,0,2,3,2,1,14,14
"122",15,2,1,4,0,5,4,2,5,13,13
"123",16,2,2,2,0,2,2,2,5,12,13
"124",16,4,1,1,0,4,4,4,5,13,13
"126",15,3,1,1,0,5,5,2,5,9,9
"127",15,3,1,2,0,3,2,1,1,11,11
"128",19,0,1,2,2,4,2,1,5,10,11
"129",16,4,1,1,0,5,5,5,4,14,15
"130",16,2,2,3,0,2,3,2,1,12,13
"131",15,3,2,3,0,2,2,2,5,11,12
"132",18,2,1,2,3,4,5,3,5,9,8
"133",17,2,3,1,0,2,2,2,5,10,11
"134",15,1,3,1,0,3,3,2,4,12,13
"135",17,2,1,1,0,4,4,3,5,12,12
"136",16,3,1,1,0,2,1,4,5,13,14
"137",16,2,4,1,0,2,1,1,2,9,11
"139",15,3,4,2,0,3,3,1,5,11,11
"140",15,4,1,3,0,3,3,1,5,14,15
"141",17,3,3,2,0,4,5,4,5,9,10
"142",16,1,4,2,0,1,3,1,3,13,13
"143",18,3,2,1,0,3,4,5,4,11,12
"144",18,3,1,3,0,3,3,1,5,11,11
"147",16,1,1,2,2,4,4,3,5,10,10
"148",15,4,2,1,0,3,2,1,5,14,14
"150",15,4,2,4,0,2,2,1,3,11,11
"151",15,3,1,2,0,3,2,3,1,8,9
"153",16,2,2,1,0,3,3,2,2,11,11
"154",15,4,1,3,0,2,2,1,5,13,13
"155",16,1,1,1,0,4,4,3,1,11,11
"156",17,2,1,1,0,4,5,2,5,7,6
"157",15,1,1,2,0,4,2,2,5,12,12
"159",15,3,1,2,1,3,2,1,3,11,11
"161",15,1,1,2,0,3,4,4,1,11,11
"162",16,4,1,1,0,3,2,1,5,9,8
"166",15,3,2,3,0,2,1,3,3,13,13
"167",19,3,1,1,0,5,4,1,4,9,11
"168",17,4,1,1,0,2,1,1,4,13,13
"169",15,2,1,2,0,4,4,1,1,8,8
"170",17,1,1,1,3,2,2,3,5,8,10
"171",18,1,3,1,3,2,5,5,4,10,11
"172",16,2,3,1,0,2,2,2,3,10,11
"173",16,3,1,2,1,5,5,4,5,10,1
"176",17,3,2,2,2,4,4,4,3,6,8
"177",15,1,2,1,0,4,4,4,5,9,10
"178",16,1,1,1,1,3,3,4,2,8,8
"179",17,1,4,2,0,3,5,5,5,8,8
"180",17,3,2,1,3,5,2,1,2,7,8
"181",16,2,1,2,0,3,5,4,4,10,11
"183",16,2,1,2,0,1,5,1,4,12,13
"184",16,4,1,2,0,4,2,1,3,16,17
"185",16,3,3,1,1,4,5,4,2,9,10
"187",17,4,1,2,0,4,4,3,5,9,10
"188",16,1,1,2,0,3,5,1,3,13,13
"189",16,3,2,2,0,4,5,1,4,14,15
"192",17,3,1,2,0,3,4,4,4,9,10
"193",16,4,1,1,0,3,3,4,3,9,11
"194",17,4,1,2,0,2,3,1,2,11,13
"195",16,4,1,2,0,4,3,3,3,10,11
"196",16,3,1,2,0,2,3,2,3,12,13
"198",17,3,1,2,0,3,3,3,1,13,14
"199",16,3,1,2,0,2,2,2,1,15,16
"200",17,3,1,2,0,3,4,3,4,13,14
"201",16,1,1,1,0,3,3,2,3,9,11
"202",16,2,1,2,0,2,3,2,5,14,16
"203",17,3,1,2,0,3,3,3,3,13,14
"204",17,1,1,2,0,1,3,5,3,9,10
"205",16,2,1,2,0,3,3,1,2,12,13
"206",17,1,1,2,0,3,3,1,3,11,12
"207",17,1,2,2,0,4,4,5,5,11,12
"208",16,3,1,1,0,3,2,4,5,10,10
"211",17,4,1,1,0,2,3,2,5,13,14
